Gebirge	Gruppe	Typ	Name	BGrad	BMinuten	BSekunden	LGrad	LMinuten	LSekunden	Höhe				
Stubaier	Stubaier	Berg	Sonklarspitze	46	57	20	11	9	53	3463				
Stubaier	Stubaier	Hütte	Teplitzer Hütte	46	57	20	11	13	38	2586				
Stubaier	Stubaier	Berg	Wilder Freiger	46	58	14	11	11	23	3418				
Verwall	Verwall	Hütte	Darmstätter Hütte	47	3	11	10	14	47	2384				
Verwall	Verwall	Hütte	Edmund Graf Hütte	47,1060187			10,3557478			2408				
Verwall	Verwall	Hütte	Friedrichshafener Hütte	46,9955387			10,2160927			2119				
Verwall	Verwall	Hütte	Heilbronner Hütte	47,0072009			10,1389084			2285				
Verwall	Verwall	Berg	Hoher Riffler	47,1166667			10,3666667			3168				
Verwall	Verwall	Talort	Ischgl	47,0118452			10,2884195			1351				
Verwall	Verwall	Hütte	Kieler Wetterhütte	47,0518026			10,2905484			2800				
Verwall	Verwall	Berg	Kreuzjochspitze	47,07920			10,30546			2919				
Verwall	Verwall	Scharte	Kuchenjoch	47,0694079			10,1889641			1683				
Verwall	Verwall	Hütte	Niederelbehütte	47,0624969			10,3159006			2300				
Verwall	Verwall	Talort	Pettneu	47	9	0	10	21	0	1222				
Verwall	Verwall	Talort	Sankt Anton	47	7		10	16		1284				
Verwall	Verwall	Berg	Scheibler	47	3	31	10	13	19	2978				
Verwall	Verwall	Scharte	Schmalzgrubenjoch	47	5	42	10	21	5	2697				
Verwall	Verwall	Berg	Seeköpfe	47	2	42	10	16	1	3061				
Verwall	Verwall	Talort	Silvretta Stausee	46,9064318			10,0940069			2037				
Walliser	Weißhorn	Berg	Äußeres Barrhorn	46	9	21,3	7	44	2,5	3610				
Walliser	Walliser	Seilbahn	Bergstation Klein Matterhorn	45	56	15	7	43	46	3817				
Walliser	Walliser	Hütte	Bergstation Klein Matterhorn	45	56	15	7	43	46	3817				
Walliser	Monte Rosa	Seilbahn	Bergstation Trockener Steg	45	58	18,42	7	43	20,54	2939				
Walliser	Mischabel	Hütte	Bordierhütte	46	8	40	7	50	59	2886				
Walliser	Walliser	Berg	Breithorn Mittelgipfel	45	56	20	7	45	22	4159				
Walliser	Walliser	Berg	Breithorn Westgipfel	45	56	27	7	44	53	4164				
Walliser	Weißhorn	Scharte	Bruneggjoch	46	7,92		7	44,3		3400				
Walliser	Monte Rosa	Hütte	Capanna Regina Margherita	45	55	38	7	52	37	4554				
Walliser	Monte Rosa	Berg	Castor	45	55	15	7	47	36	4223				
Walliser	Monte Rosa	Hütte	Edelweisshütte	46	1	20,19	7	44	16,82	1961				
Walliser	Allalin	Berg	Feechopf	46	2	54,69	7	53	0,71	3888				
Walliser	Monte Rosa	Hütte	Gandegghütte	45	57	50,9	7	43	32,11	3030				
Walliser	Mischabel	Talort	Gasenried	46	10	47	7	49	32	1659				
Walliser	Monte Rosa	Hütte	Gnifettihütte	45	53	59	7	51	0	3647				
Walliser	Monte Rosa	Talort	Gressoney-La-Trinité	45	50	0	7	50	0	1635				
Walliser	Monte Rosa	Hütte	Hotel du Trift	46	1	48,17	7	43	15,82	2337				
Walliser	Weißhorn	Hütte	Hotel Schwarzhorn	46,2116218			7,7064853			1834				
Walliser	Weißhorn	Hütte	Hotel Weißhorn	46,2082844			7,6153872			2337				
Walliser	Weißhorn	Seilbahn	Jungen	46	11	43	7	47	56	1955				
Walliser	Walliser	Berg	Klein Matterhorn	45	56	19	7	43	47	3883				
Walliser	Weißhorn	Berg	L'Omèn Rosso	46	10	28	7	39	37	3031				
Walliser	Monte Rosa	Berg	Mettelhorn	46	3	20,5	7	44	29,04	3410				
Walliser	Monte Rosa	Hütte	Monte Rosa Hütte	45	57	24,83	7	48	52,32	2883				
Walliser	Allalin	Talort	Ottafe	46	3	29,19	7	48	40,06	2205				
Walliser	Monte Rosa	Berg	Platthorn	46	3	13,34	7	44	11,04	3345				
Walliser	Monte Rosa	Seilbahn	Punta Indren	45	53	23	7	51	55	3260				
Walliser	Monte Rosa	Hütte	Rifugio Quintino Sella	45	54	4,1	7	47	34,05	3585				
Walliser	Monte Rosa	Seilbahn	Rotenboden	45	59	4,05	7	45	55,06	2819				
Walliser	Weißhorn	Talort	Saint-Luc CH	46,2212076			7,5959602			1646				
Walliser	Weißhorn	Talort	Sankt Niklaus	46,1762332			7,8045917			1099				
Walliser	Monte Rosa	Berg	Schneedomspitze	45	55	0,15	7	50	6,24	4272				
